Name,Price,24H Change,24H Volume,Market Cap
Bitcoin,"$18,246.04",+1.66%,$19.73 B,$348.76 B
Ethereum,"$1,350.12",+0.68%,$5.84 B,$163.65 B
Tether,$1.02,-0.05%,$25.87 B,$65.97 B
USD Coin,$1.00,+0.01%,$2.7 B,$45.16 B
BNB,$276.27,-0.72%,$1.02 B,$43.64 B
XRP,$0.3962,-0.36%,$809.37 M,$19.7 B
Binance USD,$1.00,+0.02%,$5.97 B,$18.82 B
Dogecoin,$0.09256,-1.06%,$432.45 M,$12.13 B
Cardano,$0.3178,-0.86%,$225.89 M,$10.75 B
Polygon,$0.938,-0.91%,$262.68 M,$8.09 B
Polkadot,$5.39,+0.64%,$188.56 M,$6.09 B
Dai,$1.02,+0.06%,$217.59 M,$5.86 B
Wrapped TRON,$0.05684,+4.90%,$1.04 M,$5.78 B
Litecoin,$78.64,-0.93%,$442.16 M,$5.57 B
Solana,$15.30,+6.22%,$270.31 M,$5.37 B
TRON,$0.05689,+4.39%,$225.89 M,$5.24 B
Shiba Inu,$0.000009338,-0.42%,$86.23 M,$5.03 B
HEX,$0.02904,+0.45%,$2.93 M,$5.04 B
Uniswap,$6.21,-0.32%,$64 M,$4.66 B
Avalanche,$14.39,+1.85%,$183.31 M,$4.37 B
Lido stETH,"$1,239.19",+0.02%,$17.75 M,$4.32 B
Wrapped Bitcoin,"$18,433.90",+1.75%,$69.71 M,$3.61 B
UNUS SED LEO,$3.74,+0.17%,$1.69 M,$3.57 B
Chainlink,$6.96,-1.18%,$177.9 M,$3.49 B
Toncoin,$2.64,+13.03%,$101.46 M,$3.22 B
Cosmos,$10.01,-0.13%,$125.44 M,$2.82 B
Monero,$147.61,-2.72%,$85.66 M,$2.69 B
Ethereum Classic,$19.64,+0.05%,$92.85 M,$2.68 B
Stellar,$0.0855,-0.21%,$41.94 M,$2.19 B
Bitcoin Cash,$111.51,+0.32%,$121.71 M,$2.11 B
Algorand,$0.2268,+0.68%,$35.89 M,$1.6 B
Cronos,$0.06398,+1.16%,$15.42 M,$1.59 B
Quant,$127.18,+1.27%,$23.11 M,$1.51 B
ApeCoin,$4.15,-0.38%,$181.01 M,$1.48 B
Filecoin,$4.40,-0.34%,$77.97 M,$1.47 B
NEAR Protocol,$1.75,+0.64%,$67.19 M,$1.45 B
OKB,$23.09,+0.48%,$19.15 M,$1.39 B
VeChain,$0.01947,-0.81%,$29.63 M,$1.38 B
Hedera,$0.04997,-0.53%,$13.64 M,$1.18 B
Internet Computer,$4.19,-2.57%,$17.92 M,$1.15 B
EOS,$1.01,-0.67%,$83.89 M,$1.07 B
Elrond,$44.70,-1.73%,$18.16 M,$1.05 B
Wrapped BNB,$271.96,-1.17%,$89.06 M,$1.04 B
Frax,$0.9993,-0.15%,$5.48 M,$1.02 B
Luna Classic,$0.0001843,-1.49%,$52.79 M,$1 B
Flow,$0.9791,-1.02%,$18.65 M,$992.11 M
Huobi Token,$6.39,+1.16%,$10.91 M,$979.91 M
Bitcoin BEP2,"$18,058.61",+1.57%,$5.46 M,$965.46 M
Trust Wallet Token,$2.27,+0.92%,$78.94 M,$946.15 M
Pax Dollar,$1.00,+0.29%,$1.94 M,$947.06 M
